source_file,time,latitude,longitude,RH_700,t700,t_C_700,u700,v700,z700,t2m,d2m,,d_C_sfc,,VP,SVP,,u10,v10,,HDW_sfc,,datetime,normalized_time,,X,,,,t_C_sfc,RH_sfc,VPD_sfc,wind_speed_sfc,wind_speed700
Whitney_20200908.csv,0:00:00,47.5,-118.5,31.24624634,281.1748962,8.02489624,6.515228271,-2.16255188,31437.15625,297.0524902,277.1936035,,4.043603516,,0.815733665,2.966400769,,-0.374160767,-0.469650269,,1.291417224,,2020-10-02 00:00:00+00:00,0:00:00,,,,,,23.90249023,27.53440168,2.150667104,0.600472859,6.864752731
Whitney_20200908.csv,0:00:00,47.5,-118.5,26.84442139,281.1293945,7.979394531,4.1199646,-3.655639648,31206.74609,298.5629272,279.5404358,,6.390435791,,0.960657616,3.246427129,,0.51675415,-0.57989502,,1.775431041,,2020-10-03 00:00:00+00:00,0:00:00,,,,,,25.41292725,29.61453074,2.285769513,0.776732313,5.507976901
Whitney_20200908.csv,0:00:00,47.5,-118.5,8.110669136,281.3493652,8.199365234,5.348922729,3.925323486,30897.28906,297.8045044,280.9606323,,7.810632324,,1.058976552,3.103066644,,0.70980835,1.085845947,,2.651720887,,2020-10-04 00:00:00+00:00,0:00:00,,,,,,24.65450439,34.14788037,2.044090091,1.297262238,6.634692068
Whitney_20200908.csv,0:00:00,47.5,-118.5,36.904953,279.3343506,6.184350586,7.316329956,-5.212402344,30610.10547,297.3289795,276.845459,,3.695458984,,0.79596681,3.016024748,,4.677642822,2.299133301,,11.57124276,,2020-10-05 00:00:00+00:00,0:00:00,,,,,,24.17897949,26.42659079,2.220057938,5.212135484,8.983196659
Whitney_20200908.csv,0:00:00,47.5,-118.5,44.50476074,280.9197998,7.769799805,5.35105896,-7.88911438,31178.02344,298.4135132,276.7049561,,3.554956055,,0.788109867,3.217736161,,2.898208618,2.920791626,,9.99714813,,2020-10-06 00:00:00+00:00,0:00:00,,,,,,25.26351318,24.52472271,2.429626295,4.114685519,9.532678411
Whitney_20200908.csv,0:00:00,47.5,-118.5,36.56864929,280.3134155,7.163415527,7.480880737,-3.010498047,30890.57422,300.1999817,280.5788879,,7.428887939,,1.031714993,3.575691056,,2.064254761,1.905181885,,7.146202975,,2020-10-07 00:00:00+00:00,0:00:00,,,,,,27.04998169,28.86852518,2.543976063,2.809068481,8.063911898
Whitney_20200908.csv,0:00:00,47.5,-118.5,33.13215637,279.3409424,6.190942383,6.503936768,5.003189087,30344.10156,300.0779724,278.2206421,,5.07064209,,0.876593101,3.550185704,,-0.07232666,1.258331299,,3.369818011,,2020-10-08 00:00:00+00:00,0:00:00,,,,,,26.92797241,24.71390211,2.673592603,1.260408189,8.205674531
Whitney_20200908.csv,0:00:00,47.5,-118.5,43.94604492,275.5377808,2.387780762,10.91294861,2.642486572,29899.52344,296.2727661,281.0256348,,7.875634766,,1.063681227,2.830273898,,6.356201172,1.741333008,,11.64257403,,2020-10-09 00:00:00+00:00,0:00:00,,,,,,23.12276611,37.60784405,1.766592672,6.590412277,11.22832056
Whitney_20200908.csv,0:00:00,47.5,-118.5,48.65475464,276.5697632,3.419763184,11.21733093,9.039459229,29828.08984,295.3911133,279.2398682,,6.089868164,,0.940912574,2.682949471,,2.730697632,4.050292969,,8.509557405,,2020-10-10 00:00:00+00:00,0:00:00,,,,,,22.24111328,35.1044919,1.742036897,4.8848319,14.40626032
Whitney_20200908.csv,0:00:00,47.5,-118.5,27.64302063,268.2363586,-4.913641357,17.64752197,1.727905273,28763.85547,287.5760498,274.6893616,,1.539361572,,0.68269282,1.643289225,,9.741653442,4.38331604,,10.26145711,,2020-10-11 00:00:00+00:00,0:00:00,,,,,,14.4260498,41.61897262,0.960596404,10.68238135,17.73191158
Whitney_20200908.csv,0:00:00,47.5,-118.5,102.9034119,267.1318359,-6.018164062,13.0900116,9.027404785,29396.55078,284.3600159,279.7451172,,6.595117188,,0.974311737,1.331108988,,-0.533721924,5.418624878,,1.942706309,,2020-10-12 00:00:00+00:00,0:00:00,,,,,,11.21001587,73.23768495,0.356797252,5.444846615,15.90102012
Whitney_20200908.csv,0:00:00,47.5,-118.5,24.11894226,266.0317383,-7.118261719,7.815582275,-6.668731689,29993.53906,287.6326294,275.3535156,,2.203515625,,0.715961815,1.64931211,,3.684524536,0.064788818,,3.439483683,,2020-10-13 00:00:00+00:00,0:00:00,,,,,,14.48262939,43.48131645,0.933350296,3.685094117,10.27401132
Whitney_20200908.csv,0:00:00,47.5,-118.5,21.3155365,268.6342773,-4.515722656,34.05618286,1.336883545,29266.60547,287.3098755,275.6051636,,2.455163574,,0.728936572,1.615213132,,12.89381409,3.527694702,,11.84746818,,2020-10-14 00:00:00+00:00,0:00:00,,,,,,14.15987549,45.20054274,0.88627656,13.36768759,34.0824126
Whitney_20200908.csv,0:00:00,47.5,-118.5,51.86172485,265.0533447,-8.096655273,8.167572021,-6.261810303,30447.34766,286.6669312,277.2030945,,4.053094482,,0.81627855,1.54912438,,4.515014648,0.693588257,,3.347623544,,2020-10-15 00:00:00+00:00,0:00:00,,,,,,13.51693115,52.75645185,0.73284583,4.567977884,10.29172002
Whitney_20200908.csv,0:00:00,47.5,-118.5,50.15632629,269.3387451,-3.811254883,12.58355713,-8.33833313,30861.79297,285.9337158,274.3205261,,1.170526123,,0.664813238,1.476663307,,3.766586304,1.994415283,,3.460126014,,2020-10-16 00:00:00+00:00,0:00:00,,,,,,12.78371582,45.10139895,0.811850069,4.262025892,15.09548639
Whitney_20200908.csv,0:00:00,47.5,-118.5,79.81369019,274.8996887,1.749688721,18.48188782,-13.41705322,29975.23047,290.039917,282.2862549,,9.136254883,,1.15863307,1.924189625,,8.940704346,4.806243896,,7.770914722,,2020-10-17 00:00:00+00:00,0:00:00,,,,,,16.88991699,60.24788072,0.765556556,10.1506736,22.83850902
Whitney_20200908.csv,0:00:00,47.5,-118.5,56.47807312,269.2062988,-3.943701172,13.09243774,-9.189605713,29950.94922,287.1229858,278.5484619,,5.398461914,,0.896844041,1.595752312,,2.158493042,-1.136108398,,1.704796805,,2020-10-18 00:00:00+00:00,0:00:00,,,,,,13.97298584,56.25743647,0.698908271,2.43922826,15.99564876
Whitney_20200908.csv,0:00:00,47.5,-118.5,41.75935364,271.9779053,-1.172094727,16.92678833,-6.764358521,29823.55469,284.7290649,280.4932251,,7.343225098,,1.025683133,1.364060579,,-2.739883423,-0.803466797,,0.966156203,,2020-10-19 00:00:00+00:00,0:00:00,,,,,,11.57906494,75.23075428,0.338377446,2.855261821,18.22834906
Whitney_20200908.csv,0:00:00,47.5,-118.5,75.82946777,270.4462585,-2.703741455,16.47003174,-7.357467651,29761.35938,287.5891724,278.2639771,,5.113977051,,0.879246762,1.644684397,,7.990356445,1.745071411,,6.260281822,,2020-10-20 00:00:00+00:00,0:00:00,,,,,,14.43917236,53.51678647,0.765437635,8.178696128,18.0386883
